,Unnamed: 0,station_id,station_name,station_latitude,station_longitude,state,city,neighbourhood
155,320,180.0,Telegraph Ave at 23rd St,37.8126783,-122.2687726,California,Oakland,Northgate / Koreatown
156,322,246.0,Berkeley Civic Center,37.8690599,-122.270556,California,Berkeley,Downtown Berkeley
157,327,268.0,Ellsworth St at Russell St,37.8574902146,-122.2615778446,California,Berkeley,LeConte
158,328,350.0,8th St at Brannan St,37.7714313629,-122.4057868123,California,San Francisco,West SoMa
159,329,195.0,Bay Pl at Vernon St,37.8123140914,-122.2607785463,California,Oakland,Westlake
160,344,190.0,West St at 40th St,37.8302232,-122.2709501,California,Oakland,Longfellow
161,348,55.0,Webster St at Grove St,37.7770527,-122.4295585,California,San Francisco,Western Addition
162,351,182.0,19th Street BART Station,37.8090126,-122.2682473,California,Oakland,Uptown
163,354,198.0,Snow Park,37.8078131822,-122.264496088,California,Oakland,Financial District
164,360,90.0,Townsend St at 7th St,37.771058,-122.402717,California,San Francisco,West SoMa
165,364,9.0,Broadway at Battery St,37.7985721085,-122.4008689821,California,San Francisco,Northeast Waterfront Historic District
166,367,126.0,Esprit Park,37.7616343,-122.3906477,California,San Francisco,Dogpatch
167,370,64.0,5th St at Brannan St,37.7767539,-122.3990176,California,San Francisco,South of Market
168,372,8.0,The Embarcadero at Vallejo St,37.799953,-122.398525,California,San Francisco,
169,375,343.0,Bryant St at 2nd St,37.7831719893,-122.3935720325,California,San Francisco,Rincon Hill
170,382,171.0,Rockridge BART Station,37.844278754,-122.2519004345,California,Oakland,Rockridge
171,384,136.0,23rd St at San Bruno Ave,37.7544356,-122.4043639,California,San Francisco,Potrero Terrace
172,386,56.0,Koshland Park,37.77341397,-122.4273169041,California,San Francisco,Western Addition
173,387,175.0,49th St at Telegraph Ave,37.8359455,-122.2623663,California,Oakland,Temescal
174,388,314.0,Santa Clara St at Almaden Blvd,37.333988,-121.894902,California,San Jose,Little Italy
175,389,172.0,College Ave at Taft Ave,37.8417999,-122.2515349,California,Oakland,Rockridge
176,391,363.0,Salesforce Transit Center (Natoma St at 2nd St),37.7874921044,-122.3982846737,California,San Francisco,Transbay
177,402,52.0,McAllister St at Baker St,37.7774157,-122.4418376,California,San Francisco,Western Addition
178,406,324.0,Union Square (Powell St at Post St),37.7882999782,-122.4085307121,California,San Francisco,Union Square
179,407,365.0,Turk St at Fillmore St,37.78045006,-122.4319463968,California,San Francisco,Western Addition
180,429,211.0,Broadway at 40th St,37.8277573,-122.2567156,California,Oakland,Broadway Auto Row
181,431,280.0,San Fernando St at 7th St,37.3371223729,-121.8832147121,California,San Jose,Saint James Square Historic District
182,439,200.0,2nd Ave at E 18th St,37.800213567,-122.2538101673,California,Oakland,Merritt
